"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, com rendimento (Pessoas)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Jurunas - Belém (PA)";"70 anos ou mais";"2478";"925";"1553"
"Marambaia - Belém (PA)";"Total";"35312";"18014";"17298"
"Marambaia - Belém (PA)";"10 a 14 anos";"339";"179";"160"
"Marambaia - Belém (PA)";"15 a 19 anos";"933";"510";"423"
"Marambaia - Belém (PA)";"15 a 17 anos";"381";"209";"172"
"Marambaia - Belém (PA)";"18 ou 19 anos";"552";"301";"251"
"Marambaia - Belém (PA)";"20 a 24 anos";"3116";"1674";"1442"
"Marambaia - Belém (PA)";"25 a 29 anos";"4450";"2398";"2052"
"Marambaia - Belém (PA)";"30 a 34 anos";"4441";"2342";"2099"
"Marambaia - Belém (PA)";"35 a 39 anos";"4165";"2190";"1975"
"Marambaia - Belém (PA)";"40 a 44 anos";"3853";"1995";"1858"
"Marambaia - Belém (PA)";"45 a 49 anos";"2873";"1480";"1393"
"Marambaia - Belém (PA)";"50 a 54 anos";"2749";"1392";"1357"
"Marambaia - Belém (PA)";"55 a 59 anos";"2253";"1169";"1084"
"Marambaia - Belém (PA)";"60 a 69 anos";"3398";"1609";"1789"
"Marambaia - Belém (PA)";"70 anos ou mais";"2742";"1076";"1666"
"Marco - Belém (PA)";"Total";"36975";"18001";"18974"
"Marco - Belém (PA)";"10 a 14 anos";"210";"116";"94"
"Marco - Belém (PA)";"15 a 19 anos";"692";"339";"353"
"Marco - Belém (PA)";"15 a 17 anos";"260";"120";"140"
"Marco - Belém (PA)";"18 ou 19 anos";"432";"219";"213"
"Marco - Belém (PA)";"20 a 24 anos";"3038";"1574";"1464"
"Marco - Belém (PA)";"25 a 29 anos";"4478";"2239";"2239"
"Marco - Belém (PA)";"30 a 34 anos";"4273";"2190";"2083"
"Marco - Belém (PA)";"35 a 39 anos";"3900";"1965";"1935"
"Marco - Belém (PA)";"40 a 44 anos";"3878";"1967";"1911"
"Marco - Belém (PA)";"45 a 49 anos";"3611";"1813";"1798"
"Marco - Belém (PA)";"50 a 54 anos";"3234";"1599";"1635"
"Marco - Belém (PA)";"55 a 59 anos";"2610";"1245";"1365"
