"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento (Reais)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Marambaia - Belém (PA)";"35 a 39 anos";"800,00";"950,00";"620,00"
"Marambaia - Belém (PA)";"40 a 44 anos";"800,00";"1000,00";"700,00"
"Marambaia - Belém (PA)";"45 a 49 anos";"1000,00";"1020,00";"750,00"
"Marambaia - Belém (PA)";"50 a 54 anos";"1000,00";"1132,50";"800,00"
"Marambaia - Belém (PA)";"55 a 59 anos";"1060,00";"1400,00";"1000,00"
"Marambaia - Belém (PA)";"60 a 69 anos";"1000,00";"1200,00";"600,00"
"Marambaia - Belém (PA)";"70 anos ou mais";"510,00";"800,00";"510,00"
"Marco - Belém (PA)";"Total";"1000,00";"1200,00";"900,00"
"Marco - Belém (PA)";"10 a 14 anos";"125,00";"122,50";"125,00"
"Marco - Belém (PA)";"15 a 19 anos";"510,00";"510,00";"510,00"
"Marco - Belém (PA)";"15 a 17 anos";"355,00";"300,00";"400,00"
"Marco - Belém (PA)";"18 ou 19 anos";"510,00";"510,00";"510,00"
"Marco - Belém (PA)";"20 a 24 anos";"510,00";"598,50";"510,00"
"Marco - Belém (PA)";"25 a 29 anos";"800,00";"900,00";"800,00"
"Marco - Belém (PA)";"30 a 34 anos";"1000,00";"1020,00";"890,00"
"Marco - Belém (PA)";"35 a 39 anos";"1020,00";"1200,00";"1000,00"
"Marco - Belém (PA)";"40 a 44 anos";"1200,00";"1500,00";"1000,00"
"Marco - Belém (PA)";"45 a 49 anos";"1500,00";"1500,00";"1200,00"
"Marco - Belém (PA)";"50 a 54 anos";"1500,00";"2000,00";"1200,00"
"Marco - Belém (PA)";"55 a 59 anos";"1790,00";"2000,00";"1500,00"
"Marco - Belém (PA)";"60 a 69 anos";"1450,00";"1900,00";"1020,00"
"Marco - Belém (PA)";"70 anos ou mais";"1000,00";"1487,50";"600,00"
"Fátima - Belém (PA)";"Total";"600,00";"700,00";"510,00"
"Fátima - Belém (PA)";"10 a 14 anos";"100,00";"175,00";"100,00"
"Fátima - Belém (PA)";"15 a 19 anos";"510,00";"510,00";"510,00"
"Fátima - Belém (PA)";"15 a 17 anos";"510,00";"510,00";"510,00"
"Fátima - Belém (PA)";"18 ou 19 anos";"510,00";"510,00";"510,00"
"Fátima - Belém (PA)";"20 a 24 anos";"510,00";"510,00";"510,00"
"Fátima - Belém (PA)";"25 a 29 anos";"600,00";"650,00";"510,00"
"Fátima - Belém (PA)";"30 a 34 anos";"600,00";"700,00";"550,00"
"Fátima - Belém (PA)";"35 a 39 anos";"600,00";"700,00";"510,00"
"Fátima - Belém (PA)";"40 a 44 anos";"740,00";"800,00";"600,00"
"Fátima - Belém (PA)";"45 a 49 anos";"700,00";"800,00";"600,00"
"Fátima - Belém (PA)";"50 a 54 anos";"800,00";"800,00";"650,00"
"Fátima - Belém (PA)";"55 a 59 anos";"750,00";"900,00";"600,00"
"Fátima - Belém (PA)";"60 a 69 anos";"650,00";"800,00";"510,00"
"Fátima - Belém (PA)";"70 anos ou mais";"510,00";"510,00";"510,00"
"Nazaré - Belém (PA)";"Total";"2800,00";"3800,00";"2000,00"
"Nazaré - Belém (PA)";"10 a 14 anos";"555,00";"870,00";"510,00"
"Nazaré - Belém (PA)";"15 a 19 anos";"510,00";"510,00";"510,00"
"Nazaré - Belém (PA)";"15 a 17 anos";"700,00";"650,00";"750,00"
"Nazaré - Belém (PA)";"18 ou 19 anos";"510,00";"510,00";"510,00"
"Nazaré - Belém (PA)";"20 a 24 anos";"1000,00";"1000,00";"900,00"
"Nazaré - Belém (PA)";"25 a 29 anos";"2000,00";"2000,00";"1560,00"
"Nazaré - Belém (PA)";"30 a 34 anos";"2300,00";"3000,00";"2000,00"
"Nazaré - Belém (PA)";"35 a 39 anos";"3000,00";"4000,00";"2200,00"
"Nazaré - Belém (PA)";"40 a 44 anos";"3000,00";"4000,00";"2500,00"
"Nazaré - Belém (PA)";"45 a 49 anos";"4000,00";"5000,00";"3000,00"
"Nazaré - Belém (PA)";"50 a 54 anos";"4000,00";"5000,00";"3000,00"
"Nazaré - Belém (PA)";"55 a 59 anos";"4000,00";"5000,00";"3000,00"
"Nazaré - Belém (PA)";"60 a 69 anos";"4000,00";"5000,00";"3000,00"
"Nazaré - Belém (PA)";"70 anos ou mais";"3000,00";"4900,00";"2381,00"
"Pedreira - Belém (PA)";"Total";"750,00";"900,00";"600,00"
"Pedreira - Belém (PA)";"10 a 14 anos";"200,00";"300,00";"134,00"
"Pedreira - Belém (PA)";"15 a 19 anos";"510,00";"510,00";"500,00"
"Pedreira - Belém (PA)";"15 a 17 anos";"300,00";"307,50";"300,00"
"Pedreira - Belém (PA)";"18 ou 19 anos";"510,00";"510,00";"510,00"
"Pedreira - Belém (PA)";"20 a 24 anos";"510,00";"510,00";"510,00"
"Pedreira - Belém (PA)";"25 a 29 anos";"700,00";"737,50";"600,00"
"Pedreira - Belém (PA)";"30 a 34 anos";"800,00";"900,00";"700,00"
"Pedreira - Belém (PA)";"35 a 39 anos";"800,00";"900,00";"700,00"
"Pedreira - Belém (PA)";"40 a 44 anos";"980,00";"1000,00";"771,50"
"Pedreira - Belém (PA)";"45 a 49 anos";"1000,00";"1100,00";"800,00"
"Pedreira - Belém (PA)";"50 a 54 anos";"1020,00";"1200,00";"955,00"
"Pedreira - Belém (PA)";"55 a 59 anos";"1020,00";"1350,00";"900,00"
"Pedreira - Belém (PA)";"60 a 69 anos";"800,00";"1020,00";"600,00"
"Pedreira - Belém (PA)";"70 anos ou mais";"510,00";"700,00";"510,00"
"Reduto - Belém (PA)";"Total";"2300,00";"3000,00";"2000,00"
"Reduto - Belém (PA)";"10 a 14 anos";"700,00";"510,00";"700,00"
"Reduto - Belém (PA)";"15 a 19 anos";"600,00";"850,00";"510,00"
"Reduto - Belém (PA)";"15 a 17 anos";"800,00";"1050,00";"510,00"
"Reduto - Belém (PA)";"18 ou 19 anos";"575,00";"800,00";"510,00"
"Reduto - Belém (PA)";"20 a 24 anos";"800,00";"800,00";"750,00"
"Reduto - Belém (PA)";"25 a 29 anos";"1500,00";"1800,00";"1500,00"
"Reduto - Belém (PA)";"30 a 34 anos";"2000,00";"2500,00";"1950,00"
"Reduto - Belém (PA)";"35 a 39 anos";"2500,00";"3000,00";"2000,00"
"Reduto - Belém (PA)";"40 a 44 anos";"2775,00";"3500,00";"2300,00"
"Reduto - Belém (PA)";"45 a 49 anos";"3000,00";"4000,00";"2700,00"
"Reduto - Belém (PA)";"50 a 54 anos";"3500,00";"5000,00";"2700,00"
"Reduto - Belém (PA)";"55 a 59 anos";"4000,00";"5000,00";"3075,00"
"Reduto - Belém (PA)";"60 a 69 anos";"3150,00";"5000,00";"2875,00"
"Reduto - Belém (PA)";"70 anos ou mais";"2000,00";"3000,00";"1360,00"
"Sacramenta - Belém (PA)";"Total";"510,00";"600,00";"510,00"
"Sacramenta - Belém (PA)";"10 a 14 anos";"112,00";"112,00";"112,00"
"Sacramenta - Belém (PA)";"15 a 19 anos";"400,00";"510,00";"300,00"
"Sacramenta - Belém (PA)";"15 a 17 anos";"250,00";"252,50";"230,00"
"Sacramenta - Belém (PA)";"18 ou 19 anos";"510,00";"510,00";"435,00"
"Sacramenta - Belém (PA)";"20 a 24 anos";"510,00";"510,00";"510,00"
"Sacramenta - Belém (PA)";"25 a 29 anos";"510,00";"595,00";"510,00"
"Sacramenta - Belém (PA)";"30 a 34 anos";"520,00";"665,00";"510,00"
"Sacramenta - Belém (PA)";"35 a 39 anos";"600,00";"705,00";"510,00"
"Sacramenta - Belém (PA)";"40 a 44 anos";"600,00";"800,00";"510,00"
"Sacramenta - Belém (PA)";"45 a 49 anos";"600,00";"800,00";"510,00"
"Sacramenta - Belém (PA)";"50 a 54 anos";"610,00";"800,00";"510,00"
"Sacramenta - Belém (PA)";"55 a 59 anos";"700,00";"815,00";"510,00"
