"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Valor do rendimento nominal médio mensal das pessoas de 10 anos ou mais de idade, com rendimento (Reais)"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Marambaia - Belém (PA)";"10 a 14 anos";"227,73";"258,55";"193,24"
"Marambaia - Belém (PA)";"15 a 19 anos";"430,93";"470,77";"382,89"
"Marambaia - Belém (PA)";"15 a 17 anos";"342,68";"370,13";"309,33"
"Marambaia - Belém (PA)";"18 ou 19 anos";"491,84";"540,65";"433,30"
"Marambaia - Belém (PA)";"20 a 24 anos";"750,84";"818,31";"672,51"
"Marambaia - Belém (PA)";"25 a 29 anos";"1033,71";"1089,70";"968,27"
"Marambaia - Belém (PA)";"30 a 34 anos";"1215,47";"1320,26";"1098,56"
"Marambaia - Belém (PA)";"35 a 39 anos";"1362,38";"1548,49";"1156,02"
"Marambaia - Belém (PA)";"40 a 44 anos";"1439,87";"1664,27";"1198,92"
"Marambaia - Belém (PA)";"45 a 49 anos";"1645,21";"1907,11";"1366,95"
"Marambaia - Belém (PA)";"50 a 54 anos";"1729,97";"2049,44";"1402,26"
"Marambaia - Belém (PA)";"55 a 59 anos";"2065,90";"2423,51";"1680,24"
"Marambaia - Belém (PA)";"60 a 69 anos";"1824,85";"2232,98";"1457,78"
"Marambaia - Belém (PA)";"70 anos ou mais";"1298,29";"1684,91";"1048,58"
"Marco - Belém (PA)";"Total";"2096,32";"2433,23";"1776,69"
"Marco - Belém (PA)";"10 a 14 anos";"352,26";"362,36";"339,79"
"Marco - Belém (PA)";"15 a 19 anos";"561,91";"590,09";"534,85"
"Marco - Belém (PA)";"15 a 17 anos";"543,55";"584,97";"508,05"
"Marco - Belém (PA)";"18 ou 19 anos";"572,97";"592,90";"552,47"
"Marco - Belém (PA)";"20 a 24 anos";"878,65";"993,15";"755,54"
"Marco - Belém (PA)";"25 a 29 anos";"1428,31";"1504,56";"1352,06"
"Marco - Belém (PA)";"30 a 34 anos";"1913,29";"2193,51";"1618,69"
"Marco - Belém (PA)";"35 a 39 anos";"2180,26";"2433,27";"1923,32"
"Marco - Belém (PA)";"40 a 44 anos";"2462,68";"2809,13";"2106,07"
"Marco - Belém (PA)";"45 a 49 anos";"2552,22";"2956,31";"2144,76"
"Marco - Belém (PA)";"50 a 54 anos";"2714,36";"3157,37";"2281,11"
"Marco - Belém (PA)";"55 a 59 anos";"2958,09";"3537,49";"2429,62"
"Marco - Belém (PA)";"60 a 69 anos";"2608,47";"3304,87";"2038,98"
"Marco - Belém (PA)";"70 anos ou mais";"1910,36";"2488,68";"1548,07"
"Fátima - Belém (PA)";"Total";"1124,57";"1224,34";"1025,95"
"Fátima - Belém (PA)";"10 a 14 anos";"256,07";"307,91";"206,48"
"Fátima - Belém (PA)";"15 a 19 anos";"501,61";"524,24";"477,24"
"Fátima - Belém (PA)";"15 a 17 anos";"426,77";"406,27";"446,61"
"Fátima - Belém (PA)";"18 ou 19 anos";"546,81";"589,78";"497,45"
"Fátima - Belém (PA)";"20 a 24 anos";"705,45";"709,51";"701,35"
"Fátima - Belém (PA)";"25 a 29 anos";"878,22";"912,90";"838,39"
"Fátima - Belém (PA)";"30 a 34 anos";"1123,29";"1204,00";"1021,18"
"Fátima - Belém (PA)";"35 a 39 anos";"1015,65";"1100,87";"918,37"
"Fátima - Belém (PA)";"40 a 44 anos";"1210,00";"1308,76";"1116,30"
"Fátima - Belém (PA)";"45 a 49 anos";"1224,46";"1358,02";"1070,36"
"Fátima - Belém (PA)";"50 a 54 anos";"1442,11";"1484,16";"1396,11"
"Fátima - Belém (PA)";"55 a 59 anos";"1520,60";"1660,63";"1404,42"
"Fátima - Belém (PA)";"60 a 69 anos";"1458,92";"1668,71";"1295,81"
"Fátima - Belém (PA)";"70 anos ou mais";"1040,84";"1401,61";"828,56"
"Nazaré - Belém (PA)";"Total";"4356,62";"5488,04";"3472,78"
"Nazaré - Belém (PA)";"10 a 14 anos";"851,33";"866,00";"844,00"
"Nazaré - Belém (PA)";"15 a 19 anos";"1039,42";"981,11";"1077,70"
"Nazaré - Belém (PA)";"15 a 17 anos";"1120,66";"1046,50";"1156,83"
"Nazaré - Belém (PA)";"18 ou 19 anos";"1006,61";"960,67";"1040,40"
"Nazaré - Belém (PA)";"20 a 24 anos";"1412,36";"1580,34";"1275,14"
"Nazaré - Belém (PA)";"25 a 29 anos";"2688,24";"3067,99";"2366,38"
"Nazaré - Belém (PA)";"30 a 34 anos";"3485,44";"4228,51";"2818,48"
"Nazaré - Belém (PA)";"35 a 39 anos";"4227,09";"5257,95";"3356,56"
"Nazaré - Belém (PA)";"40 a 44 anos";"4448,58";"5545,05";"3499,47"
"Nazaré - Belém (PA)";"45 a 49 anos";"5176,04";"6382,08";"4185,19"
"Nazaré - Belém (PA)";"50 a 54 anos";"5601,60";"7206,62";"4278,71"
"Nazaré - Belém (PA)";"55 a 59 anos";"5895,17";"7567,00";"4566,50"
"Nazaré - Belém (PA)";"60 a 69 anos";"5615,56";"7115,75";"4434,77"
"Nazaré - Belém (PA)";"70 anos ou mais";"4510,36";"6323,51";"3525,38"
"Pedreira - Belém (PA)";"Total";"1603,00";"1784,38";"1427,71"
