"Tabela 3170 - Pessoas de 10 anos ou mais de idade, com rendimento, Valor do rendimento nominal médio mensal e Valor do rendimento nominal mediano mensal das pessoas de 10 anos ou mais de idade, com rendimento, por sexo, situação do domicílio e grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade, com rendimento - percentual do total geral"
"Bairro";"Grupo de idade";"Ano x Sexo x Situação do domicílio"
"Bairro";"Grupo de idade";"2010"
"Bairro";"Grupo de idade";"Total";"Homens";"Mulheres"
"Bairro";"Grupo de idade";"Total";"Total";"Total"
"Jurunas - Belém (PA)";"25 a 29 anos";"13,14";"7,05";"6,09"
"Jurunas - Belém (PA)";"30 a 34 anos";"13,19";"7,09";"6,10"
"Jurunas - Belém (PA)";"35 a 39 anos";"11,93";"6,41";"5,52"
"Jurunas - Belém (PA)";"40 a 44 anos";"10,63";"5,55";"5,07"
"Jurunas - Belém (PA)";"45 a 49 anos";"8,61";"4,47";"4,14"
"Jurunas - Belém (PA)";"50 a 54 anos";"7,47";"3,87";"3,60"
"Jurunas - Belém (PA)";"55 a 59 anos";"5,67";"2,92";"2,76"
"Jurunas - Belém (PA)";"60 a 69 anos";"8,20";"3,91";"4,30"
"Jurunas - Belém (PA)";"70 anos ou mais";"7,55";"2,82";"4,73"
"Marambaia - Belém (PA)";"Total";"100,00";"51,01";"48,99"
"Marambaia - Belém (PA)";"10 a 14 anos";"0,96";"0,51";"0,45"
"Marambaia - Belém (PA)";"15 a 19 anos";"2,64";"1,44";"1,20"
"Marambaia - Belém (PA)";"15 a 17 anos";"1,08";"0,59";"0,49"
"Marambaia - Belém (PA)";"18 ou 19 anos";"1,56";"0,85";"0,71"
"Marambaia - Belém (PA)";"20 a 24 anos";"8,82";"4,74";"4,08"
"Marambaia - Belém (PA)";"25 a 29 anos";"12,60";"6,79";"5,81"
"Marambaia - Belém (PA)";"30 a 34 anos";"12,58";"6,63";"5,94"
"Marambaia - Belém (PA)";"35 a 39 anos";"11,79";"6,20";"5,59"
"Marambaia - Belém (PA)";"40 a 44 anos";"10,91";"5,65";"5,26"
"Marambaia - Belém (PA)";"45 a 49 anos";"8,14";"4,19";"3,94"
"Marambaia - Belém (PA)";"50 a 54 anos";"7,78";"3,94";"3,84"
"Marambaia - Belém (PA)";"55 a 59 anos";"6,38";"3,31";"3,07"
"Marambaia - Belém (PA)";"60 a 69 anos";"9,62";"4,56";"5,07"
"Marambaia - Belém (PA)";"70 anos ou mais";"7,77";"3,05";"4,72"
"Marco - Belém (PA)";"Total";"100,00";"48,68";"51,32"
"Marco - Belém (PA)";"10 a 14 anos";"0,57";"0,31";"0,25"
"Marco - Belém (PA)";"15 a 19 anos";"1,87";"0,92";"0,95"
"Marco - Belém (PA)";"15 a 17 anos";"0,70";"0,32";"0,38"
"Marco - Belém (PA)";"18 ou 19 anos";"1,17";"0,59";"0,58"
"Marco - Belém (PA)";"20 a 24 anos";"8,22";"4,26";"3,96"
