Bairro,Habitações,Moradores,Média,N,avg,mdn,T.A.,IDH-R,IDH-L,IDH-E,IDH
Barreiro,6303,26003,4.13,11743.0,614.42,510.0,94.17,0.668,0.806,0.594,0.684
Maracangalha,7707,30534,3.96,14991.0,937.92,510.0,96.97,0.669,0.812,0.661,0.711
Miramar,139,515,3.71,261.0,1208.26,600.0,97.65,0.862,0.915,0.866,0.881
Curió-Utinga,4414,16639,3.77,8671.0,1178.79,600.0,96.76,0.674,0.823,0.646,0.708
Val-de-Cães,1909,7028,3.68,3642.0,2800.99,1500.0,98.58,0.841,0.882,0.798,0.839
Mangueirão,10092,36224,3.59,18105.0,1274.01,700.0,97.59,0.768,0.868,0.755,0.795
Universitário,689,2557,3.71,1054.0,627.33,510.0,94.73,0.601,0.739,0.554,0.629
Castanheira,6714,24383,3.63,13174.0,1206.64,700.0,97.76,0.712,0.844,0.706,0.751
Guanabara,430,1588,3.69,668.0,743.17,510.0,95.08,0.63,0.792,0.565,0.656
Águas Lindas,4719,17520,3.71,7738.0,621.72,510.0,94.38,0.596,0.753,0.554,0.634
Aurá,516,1827,3.54,878.0,592.34,510.0,92.84,0.585,0.74,0.556,0.622
Bengui,7592,29379,3.87,13512.0,709.35,510.0,95.16,0.641,0.79,0.609,0.676
Cabanagem,7151,27781,3.88,12091.0,670.91,510.0,95.56,0.618,0.761,0.602,0.657
Coqueiro,14164,51588,3.64,25857.0,1207.41,750.0,98.21,0.736,0.859,0.733,0.774
Parque Verde,10776,39126,3.63,18723.0,1397.49,600.0,97.41,0.812,0.875,0.792,0.82
Pratinha,5737,22585,3.94,9689.0,960.04,510.0,94.97,0.791,0.842,0.73,0.785
São Clemente,2124,7714,3.63,3138.0,602.09,510.0,95.73,0.616,0.755,0.565,0.641
Tapanã,17529,66642,3.8,29915.0,893.79,510.0,96.07,0.675,0.811,0.656,0.71
Una,1836,6724,3.66,2936.0,738.39,510.0,94.43,0.618,0.761,0.602,0.657
Águas Negras,1842,6890,3.74,3318.0,823.74,510.0,95.04,0.723,0.83,0.684,0.745
Agulha,5169,19712,3.81,9298.0,827.38,510.0,95.24,0.678,0.825,0.667,0.719
Campina de Icoaraci,7073,26718,3.78,12937.0,876.28,510.0,96.34,0.669,0.819,0.653,0.709
Cruzeiro,3109,11644,3.75,5967.0,1017.66,510.0,96.96,0.675,0.815,0.671,0.717
Maracacuera,3572,13681,3.83,6112.0,649.55,510.0,93.69,0.626,0.766,0.583,0.654
Paracuri,2552,9934,3.89,3870.0,617.88,510.0,93.78,0.585,0.74,0.556,0.622
Parque Guajará,9385,34774,3.71,14953.0,777.73,510.0,94.38,0.694,0.824,0.678,0.729
Ponta Grossa,3694,13245,3.59,6694.0,1078.22,600.0,97.57,0.708,0.844,0.716,0.753
Tenoné,8267,30429,3.68,13199.0,890.48,510.0,96.64,0.726,0.843,0.716,0.76
São João do Outeiro,3378,12124,3.59,5582.0,785.01,510.0,95.02,0.655,0.807,0.603,0.683
Itaiteua,526,1939,3.69,1005.0,676.8,510.0,94.04,0.625,0.76,0.553,0.64
Brasília,1613,6012,3.73,2265.0,642.36,510.0,95.84,0.562,0.723,0.463,0.573
Água Boa,2381,8553,3.59,3920.0,763.51,510.0,94.29,0.611,0.75,0.535,0.626
Aeroporto,321,1170,3.64,571.0,743.83,510.0,94.15,0.701,0.826,0.663,0.727
Arirambá,519,1942,3.74,610.0,774.63,510.0,93.86,0.62,0.758,0.549,0.642
Carananduba,1376,5445,3.96,2405.0,689.66,510.0,94.39,0.654,0.803,0.651,0.699
Caruara,203,794,3.91,363.0,640.03,510.0,92.56,0.625,0.76,0.553,0.64
Farol,236,849,3.6,418.0,932.94,510.0,96.02,0.701,0.826,0.663,0.727
Mangueiras,788,2842,3.61,1270.0,768.62,510.0,92.88,0.625,0.76,0.553,0.64
Maracajá,844,3345,3.96,1560.0,779.51,510.0,94.71,0.625,0.76,0.553,0.64
Natal do Murubira,291,1098,3.77,429.0,698.11,510.0,93.54,0.585,0.74,0.556,0.622
Porto Arthur,75,282,3.76,127.0,803.52,510.0,98.33,0.701,0.826,0.663,0.727
São Francisco,632,2437,3.86,838.0,865.14,510.0,90.95,0.62,0.758,0.549,0.642
Sucurijuquara,257,1074,4.18,384.0,561.4,510.0,95.2,0.562,0.723,0.463,0.573
Vila,842,3034,3.6,1662.0,937.1,510.0,96.59,0.701,0.826,0.663,0.727
Praia Grande,197,748,3.8,377.0,1133.13,510.0,95.6,0.701,0.826,0.663,0.727
Chapéu Virado,322,1156,3.59,573.0,864.41,510.0,96.78,0.701,0.826,0.663,0.727
Murubira,437,1517,3.47,778.0,703.39,510.0,91.45,0.701,0.826,0.663,0.727
Bonfim,210,776,3.7,209.0,534.64,480.0,86.49,0.562,0.723,0.463,0.573
Marahú,42,132,3.14,72.0,1545.19,740.5,99.22,0.625,0.76,0.553,0.64
Paraíso,95,315,3.32,172.0,740.55,500.0,95.16,0.625,0.76,0.553,0.64
Baía do Sol,589,2414,4.1,1119.0,661.48,510.0,92.12,0.625,0.76,0.553,0.64
