Bairro,Grupo de idade,Total,Total.1,Total.2
Telégrafo,35 a 39 anos,"987,45","1103,14","855,15"
Telégrafo,40 a 44 anos,"1182,04","1378,61","951,86"
Telégrafo,45 a 49 anos,"1164,67","1281,84","1025,16"
Telégrafo,50 a 54 anos,"1211,41","1327,35","1087,24"
Telégrafo,55 a 59 anos,"1393,31","1550,33","1231,83"
Telégrafo,60 a 69 anos,"1179,60","1385,91","1016,07"
Telégrafo,70 anos ou mais,"1035,90","1297,80","873,66"
Montese (Terra Firme),Total,"714,43","798,24","617,04"
Montese (Terra Firme),10 a 14 anos,"155,79","170,56","139,67"
Montese (Terra Firme),15 a 19 anos,"348,37","371,40","315,37"
Montese (Terra Firme),15 a 17 anos,"253,41","264,75","236,83"
Montese (Terra Firme),18 ou 19 anos,"417,19","449,81","371,13"
Montese (Terra Firme),20 a 24 anos,"532,19","572,15","477,79"
Montese (Terra Firme),25 a 29 anos,"633,12","694,48","556,11"
Montese (Terra Firme),30 a 34 anos,"696,60","776,08","600,10"
Montese (Terra Firme),35 a 39 anos,"745,00","818,28","659,46"
Montese (Terra Firme),40 a 44 anos,"813,96","933,25","671,79"
Montese (Terra Firme),45 a 49 anos,"824,30","947,00","691,45"
Montese (Terra Firme),50 a 54 anos,"902,98","1029,54","746,61"
Montese (Terra Firme),55 a 59 anos,"875,76","1038,16","682,76"
Montese (Terra Firme),60 a 69 anos,"819,94","928,92","719,07"
Montese (Terra Firme),70 anos ou mais,"773,14","914,48","679,34"
Campina,Total,"2951,02","3559,97","2438,85"
Campina,10 a 14 anos,"747,85","730,00","759,00"
Campina,15 a 19 anos,"894,01","967,69","847,29"
Campina,15 a 17 anos,"718,33","515,71","1002,00"
Campina,18 ou 19 anos,"932,35","1134,21","825,81"
Campina,20 a 24 anos,"1331,82","1517,21","1153,34"
Campina,25 a 29 anos,"1920,47","2110,15","1748,89"
Campina,30 a 34 anos,"2203,92","2669,91","1843,16"
Campina,35 a 39 anos,"2456,58","2573,13","2346,54"
Campina,40 a 44 anos,"3406,39","3947,96","2897,02"
Campina,45 a 49 anos,"3356,03","4105,70","2632,99"
Campina,50 a 54 anos,"3997,77","4987,49","2985,68"
Campina,55 a 59 anos,"3657,44","4590,48","2965,70"
Campina,60 a 69 anos,"3916,03","4938,69","3089,72"
Campina,70 anos ou mais,"3586,94","4849,39","2878,19"
Umarizal,Total,"3011,72","3689,81","2432,15"
Umarizal,10 a 14 anos,"739,89","729,51","755,46"
Umarizal,15 a 19 anos,"611,17","667,11","560,48"
Umarizal,15 a 17 anos,"463,69","381,00","516,47"
Umarizal,18 ou 19 anos,"666,03","748,86","580,76"
Umarizal,20 a 24 anos,"1067,04","1240,01","906,17"
Umarizal,25 a 29 anos,"1872,45","2090,58","1662,96"
Umarizal,30 a 34 anos,"2794,61","3214,85","2391,17"
Umarizal,35 a 39 anos,"3084,37","3660,22","2569,07"
Umarizal,40 a 44 anos,"3486,83","4249,24","2785,15"
Umarizal,45 a 49 anos,"3628,55","4211,96","3060,72"
Umarizal,50 a 54 anos,"4119,19","5085,47","3293,77"
Umarizal,55 a 59 anos,"4170,60","5087,56","3341,33"
Umarizal,60 a 69 anos,"3701,44","4949,46","2707,45"
Umarizal,70 anos ou mais,"2511,45","3541,18","1958,75"
Barreiro,Total,"614,42","679,72","532,37"
Barreiro,10 a 14 anos,"172,73","184,66","163,16"
Barreiro,15 a 19 anos,"361,36","410,43","287,88"
Barreiro,15 a 17 anos,"273,59","317,76","222,68"
Barreiro,18 ou 19 anos,"421,50","463,25","346,11"
Barreiro,20 a 24 anos,"507,50","553,24","439,32"
Barreiro,25 a 29 anos,"583,50","642,05","503,54"
Barreiro,30 a 34 anos,"595,16","647,31","527,06"
Barreiro,35 a 39 anos,"630,12","682,99","561,64"
Barreiro,40 a 44 anos,"688,19","759,89","602,71"
Barreiro,45 a 49 anos,"722,54","836,89","588,24"
Barreiro,50 a 54 anos,"716,54","820,45","578,45"
Barreiro,55 a 59 anos,"729,46","840,15","583,05"
Barreiro,60 a 69 anos,"693,92","768,19","613,95"
Barreiro,70 anos ou mais,"631,78","710,96","578,99"
Maracangalha,Total,"937,92","1093,19","756,91"
Maracangalha,10 a 14 anos,"173,13","184,29","164,36"
Maracangalha,15 a 19 anos,"399,63","427,94","360,50"
Maracangalha,15 a 17 anos,"300,05","323,57","268,07"
Maracangalha,18 ou 19 anos,"475,40","506,38","432,03"
Maracangalha,20 a 24 anos,"669,07","738,63","575,52"
Maracangalha,25 a 29 anos,"793,57","861,09","704,50"
Maracangalha,30 a 34 anos,"885,79","994,45","758,00"
Maracangalha,35 a 39 anos,"984,44","1157,36","763,24"
Maracangalha,40 a 44 anos,"1067,66","1239,29","872,33"
Maracangalha,45 a 49 anos,"1187,09","1459,99","872,24"
Maracangalha,50 a 54 anos,"1184,96","1444,31","834,82"
Maracangalha,55 a 59 anos,"1281,51","1573,02","962,40"
Maracangalha,60 a 69 anos,"1094,37","1336,81","869,15"
Maracangalha,70 anos ou mais,"748,85","848,87","680,45"
Miramar,Total,"1208,26","1421,39","953,92"
Miramar,10 a 14 anos,"135,33","104,67","150,67"
Miramar,15 a 19 anos,"321,63","341,00","296,71"
Miramar,15 a 17 anos,"255,11","160,80","373,00"
Miramar,18 ou 19 anos,"407,14","566,25","195,00"
Miramar,20 a 24 anos,"766,00","574,00","958,00"
Miramar,25 a 29 anos,"1167,14","713,85","1560,00"
Miramar,30 a 34 anos,"1340,79","1664,75","926,12"
Miramar,35 a 39 anos,"829,78","891,28","750,71"
Miramar,40 a 44 anos,"1777,08","2495,71","771,00"
Miramar,45 a 49 anos,"1696,96","2144,29","1215,23"
Miramar,50 a 54 anos,"1004,69","964,00","1072,50"
Miramar,55 a 59 anos,"2680,00","3587,14","1410,00"
Miramar,60 a 69 anos,"1215,71","1437,78","816,00"
Miramar,70 anos ou mais,"715,00","490,00","940,00"
Curió-Utinga,Total,"1178,79","1318,85","1028,86"
Curió-Utinga,10 a 14 anos,"266,82","247,30","300,48"
Curió-Utinga,15 a 19 anos,"459,00","525,09","374,22"
Curió-Utinga,15 a 17 anos,"378,73","452,33","281,70"
Curió-Utinga,18 ou 19 anos,"517,49","579,19","439,87"
Curió-Utinga,20 a 24 anos,"692,53","736,96","639,18"
Curió-Utinga,25 a 29 anos,"912,62","949,55","868,78"
Curió-Utinga,30 a 34 anos,"987,28","1067,70","893,21"
Curió-Utinga,35 a 39 anos,"1055,18","1191,12","913,54"
Curió-Utinga,40 a 44 anos,"1222,37","1432,46","992,88"
