Bairro,Grupo de idade,Total,Total.1,Total.2
Reduto,60 a 69 anos,"3150,00","5000,00","2875,00"
Reduto,70 anos ou mais,"2000,00","3000,00","1360,00"
Sacramenta,Total,"510,00","600,00","510,00"
Sacramenta,10 a 14 anos,"112,00","112,00","112,00"
Sacramenta,15 a 19 anos,"400,00","510,00","300,00"
Sacramenta,15 a 17 anos,"250,00","252,50","230,00"
Sacramenta,18 ou 19 anos,"510,00","510,00","435,00"
Sacramenta,20 a 24 anos,"510,00","510,00","510,00"
Sacramenta,25 a 29 anos,"510,00","595,00","510,00"
Sacramenta,30 a 34 anos,"520,00","665,00","510,00"
Sacramenta,35 a 39 anos,"600,00","705,00","510,00"
Sacramenta,40 a 44 anos,"600,00","800,00","510,00"
Sacramenta,45 a 49 anos,"600,00","800,00","510,00"
Sacramenta,50 a 54 anos,"610,00","800,00","510,00"
Sacramenta,55 a 59 anos,"700,00","815,00","510,00"
Sacramenta,60 a 69 anos,"510,00","750,00","510,00"
Sacramenta,70 anos ou mais,"510,00","510,00","510,00"
São Brás,Total,"1500,00","2000,00","1268,00"
São Brás,10 a 14 anos,"450,00","505,00","325,00"
São Brás,15 a 19 anos,"510,00","535,00","510,00"
São Brás,15 a 17 anos,"510,00","505,00","510,00"
São Brás,18 ou 19 anos,"510,00","600,00","510,00"
São Brás,20 a 24 anos,"600,00","700,00","600,00"
São Brás,25 a 29 anos,"1020,00","1200,00","1000,00"
São Brás,30 a 34 anos,"1500,00","1600,00","1200,00"
São Brás,35 a 39 anos,"1500,00","1750,00","1300,00"
São Brás,40 a 44 anos,"1800,00","2000,00","1500,00"
São Brás,45 a 49 anos,"2000,00","2500,00","1800,00"
São Brás,50 a 54 anos,"2000,00","2800,00","1743,50"
São Brás,55 a 59 anos,"2500,00","2800,00","2100,00"
São Brás,60 a 69 anos,"2279,00","3000,00","1900,00"
São Brás,70 anos ou mais,"1500,00","2045,00","1100,00"
Souza,Total,"1200,00","1500,00","1000,00"
Souza,10 a 14 anos,"200,00","250,00","200,00"
Souza,15 a 19 anos,"510,00","510,00","455,00"
Souza,15 a 17 anos,"300,00","510,00","255,00"
Souza,18 ou 19 anos,"510,00","510,00","510,00"
Souza,20 a 24 anos,"600,00","750,00","510,00"
Souza,25 a 29 anos,"1000,00","1020,00","1000,00"
Souza,30 a 34 anos,"1200,00","1500,00","1000,00"
Souza,35 a 39 anos,"1530,00","2005,00","1200,00"
Souza,40 a 44 anos,"1998,00","2500,00","1200,00"
Souza,45 a 49 anos,"1800,00","2500,00","1200,00"
Souza,50 a 54 anos,"1500,00","2000,00","1200,00"
Souza,55 a 59 anos,"1600,00","2000,00","1500,00"
Souza,60 a 69 anos,"1200,00","1800,00","1020,00"
Souza,70 anos ou mais,"900,00","1200,00","700,00"
Telégrafo,Total,"510,00","650,00","510,00"
Telégrafo,10 a 14 anos,"112,00","112,00","110,50"
Telégrafo,15 a 19 anos,"400,00","500,00","350,00"
Telégrafo,15 a 17 anos,"260,00","260,00","255,00"
Telégrafo,18 ou 19 anos,"510,00","510,00","510,00"
Telégrafo,20 a 24 anos,"510,00","510,00","510,00"
Telégrafo,25 a 29 anos,"510,00","540,00","510,00"
Telégrafo,30 a 34 anos,"560,00","657,00","510,00"
Telégrafo,35 a 39 anos,"600,00","700,00","510,00"
Telégrafo,40 a 44 anos,"650,00","780,00","510,00"
Telégrafo,45 a 49 anos,"700,00","800,00","510,00"
Telégrafo,50 a 54 anos,"700,00","800,00","540,00"
Telégrafo,55 a 59 anos,"780,00","1000,00","600,00"
Telégrafo,60 a 69 anos,"510,00","800,00","510,00"
Telégrafo,70 anos ou mais,"510,00","510,00","510,00"
Montese (Terra Firme),Total,"510,00","510,00","510,00"
Montese (Terra Firme),10 a 14 anos,"90,00","90,00","80,00"
Montese (Terra Firme),15 a 19 anos,"300,00","400,00","255,00"
Montese (Terra Firme),15 a 17 anos,"200,00","240,00","150,00"
Montese (Terra Firme),18 ou 19 anos,"500,00","510,00","400,00"
Montese (Terra Firme),20 a 24 anos,"510,00","510,00","510,00"
Montese (Terra Firme),25 a 29 anos,"510,00","510,00","510,00"
Montese (Terra Firme),30 a 34 anos,"510,00","510,00","510,00"
Montese (Terra Firme),35 a 39 anos,"510,00","600,00","510,00"
Montese (Terra Firme),40 a 44 anos,"510,00","600,00","510,00"
Montese (Terra Firme),45 a 49 anos,"510,00","700,00","510,00"
Montese (Terra Firme),50 a 54 anos,"510,00","690,00","510,00"
Montese (Terra Firme),55 a 59 anos,"510,00","600,00","510,00"
Montese (Terra Firme),60 a 69 anos,"510,00","510,00","510,00"
Montese (Terra Firme),70 anos ou mais,"510,00","510,00","510,00"
Campina,Total,"1530,00","2000,00","1500,00"
Campina,10 a 14 anos,"510,00","150,00","615,00"
Campina,15 a 19 anos,"510,00","555,00","510,00"
Campina,15 a 17 anos,"510,00","510,00","600,00"
Campina,18 ou 19 anos,"510,00","850,00","510,00"
Campina,20 a 24 anos,"800,00","900,00","760,00"
Campina,25 a 29 anos,"1200,00","1200,00","1100,00"
Campina,30 a 34 anos,"1200,00","1500,00","1021,00"
Campina,35 a 39 anos,"1500,00","1500,00","1300,00"
Campina,40 a 44 anos,"2000,00","2650,00","2000,00"
Campina,45 a 49 anos,"2000,00","2000,00","2000,00"
Campina,50 a 54 anos,"2500,00","3000,00","2000,00"
Campina,55 a 59 anos,"2500,00","3000,00","2000,00"
Campina,60 a 69 anos,"2000,00","2200,00","1680,00"
Campina,70 anos ou mais,"2000,00","2400,00","1600,00"
Umarizal,Total,"1500,00","1700,00","1200,00"
Umarizal,10 a 14 anos,"510,00","510,00","510,00"
Umarizal,15 a 19 anos,"510,00","510,00","510,00"
Umarizal,15 a 17 anos,"360,00","330,00","400,00"
Umarizal,18 ou 19 anos,"510,00","510,00","510,00"
Umarizal,20 a 24 anos,"600,00","660,00","510,00"
Umarizal,25 a 29 anos,"1000,00","1200,00","1000,00"
Umarizal,30 a 34 anos,"1300,00","1500,00","1100,00"
Umarizal,35 a 39 anos,"1500,00","1500,00","1200,00"
Umarizal,40 a 44 anos,"1530,00","2000,00","1500,00"
Umarizal,45 a 49 anos,"2000,00","2000,00","1650,00"
Umarizal,50 a 54 anos,"2000,00","2550,00","2000,00"
Umarizal,55 a 59 anos,"2500,00","3000,00","2000,00"
Umarizal,60 a 69 anos,"2000,00","2750,00","1500,00"
Umarizal,70 anos ou mais,"1200,00","2000,00","1000,00"
Barreiro,Total,"510,00","510,00","510,00"
Barreiro,10 a 14 anos,"101,00","112,00","100,00"
Barreiro,15 a 19 anos,"400,00","510,00","220,00"
Barreiro,15 a 17 anos,"200,00","252,50","180,00"
Barreiro,18 ou 19 anos,"510,00","510,00","300,00"
Barreiro,20 a 24 anos,"510,00","510,00","510,00"
Barreiro,25 a 29 anos,"510,00","510,00","510,00"
Barreiro,30 a 34 anos,"510,00","510,00","510,00"
Barreiro,35 a 39 anos,"510,00","510,00","510,00"
Barreiro,40 a 44 anos,"510,00","510,00","510,00"
Barreiro,45 a 49 anos,"510,00","510,00","510,00"
Barreiro,50 a 54 anos,"510,00","600,00","510,00"
Barreiro,55 a 59 anos,"510,00","550,00","510,00"
Barreiro,60 a 69 anos,"510,00","510,00","510,00"
Barreiro,70 anos ou mais,"510,00","510,00","510,00"
Maracangalha,Total,"510,00","700,00","510,00"
Maracangalha,10 a 14 anos,"80,00","66,00","80,00"
Maracangalha,15 a 19 anos,"400,00","500,00","300,00"
Maracangalha,15 a 17 anos,"250,00","255,00","200,00"
Maracangalha,18 ou 19 anos,"510,00","510,00","510,00"
Maracangalha,20 a 24 anos,"510,00","510,00","510,00"
Maracangalha,25 a 29 anos,"510,00","600,00","510,00"
Maracangalha,30 a 34 anos,"600,00","700,00","510,00"
Maracangalha,35 a 39 anos,"650,00","800,00","510,00"
