Bairro,Grupo de idade,Total,Total.1,Total.2
Curió-Utinga,10 a 14 anos,"0,91","0,58","0,33"
Curió-Utinga,15 a 19 anos,"2,79","1,57","1,22"
Curió-Utinga,15 a 17 anos,"1,18","0,67","0,51"
Curió-Utinga,18 ou 19 anos,"1,61","0,90","0,72"
Curió-Utinga,20 a 24 anos,"10,10","5,51","4,59"
Curió-Utinga,25 a 29 anos,"13,22","7,17","6,04"
Curió-Utinga,30 a 34 anos,"12,24","6,60","5,64"
Curió-Utinga,35 a 39 anos,"11,77","6,01","5,77"
Curió-Utinga,40 a 44 anos,"10,45","5,45","4,99"
Curió-Utinga,45 a 49 anos,"8,86","4,61","4,24"
Curió-Utinga,50 a 54 anos,"8,04","4,22","3,82"
Curió-Utinga,55 a 59 anos,"6,11","3,24","2,87"
Curió-Utinga,60 a 69 anos,"7,97","3,53","4,44"
Curió-Utinga,70 anos ou mais,"7,54","3,21","4,34"
Val-de-Cães,Total,"100,00","54,56","45,44"
Val-de-Cães,10 a 14 anos,"0,88","0,47","0,41"
Val-de-Cães,15 a 19 anos,"2,09","0,96","1,13"
Val-de-Cães,15 a 17 anos,"0,77","0,44","0,33"
Val-de-Cães,18 ou 19 anos,"1,32","0,52","0,80"
Val-de-Cães,20 a 24 anos,"7,00","3,76","3,24"
Val-de-Cães,25 a 29 anos,"11,72","6,48","5,24"
Val-de-Cães,30 a 34 anos,"12,38","6,48","5,90"
Val-de-Cães,35 a 39 anos,"13,76","8,29","5,46"
Val-de-Cães,40 a 44 anos,"12,88","7,91","4,97"
Val-de-Cães,45 a 49 anos,"10,21","5,99","4,23"
Val-de-Cães,50 a 54 anos,"7,55","3,71","3,84"
Val-de-Cães,55 a 59 anos,"5,02","2,75","2,28"
Val-de-Cães,60 a 69 anos,"8,51","3,98","4,53"
Val-de-Cães,70 anos ou mais,"7,99","3,79","4,20"
Mangueirão,Total,"100,00","52,84","47,16"
Mangueirão,10 a 14 anos,"0,88","0,47","0,41"
Mangueirão,15 a 19 anos,"3,39","1,81","1,59"
Mangueirão,15 a 17 anos,"1,29","0,62","0,66"
Mangueirão,18 ou 19 anos,"2,10","1,18","0,92"
Mangueirão,20 a 24 anos,"10,59","6,04","4,55"
Mangueirão,25 a 29 anos,"13,81","7,51","6,31"
Mangueirão,30 a 34 anos,"13,12","6,99","6,13"
Mangueirão,35 a 39 anos,"12,55","6,83","5,72"
Mangueirão,40 a 44 anos,"11,98","6,43","5,55"
Mangueirão,45 a 49 anos,"9,90","5,22","4,68"
Mangueirão,50 a 54 anos,"7,68","4,11","3,57"
Mangueirão,55 a 59 anos,"5,52","2,86","2,67"
Mangueirão,60 a 69 anos,"6,03","2,81","3,23"
Mangueirão,70 anos ou mais,"4,53","1,77","2,76"
Universitário,Total,"100,00","62,43","37,57"
Universitário,10 a 14 anos,"0,09",-,"0,09"
Universitário,15 a 19 anos,"3,04","2,09","0,95"
Universitário,15 a 17 anos,"1,14","1,14",-
Universitário,18 ou 19 anos,"1,90","0,95","0,95"
Universitário,20 a 24 anos,"11,57","8,92","2,66"
Universitário,25 a 29 anos,"18,22","11,39","6,83"
Universitário,30 a 34 anos,"15,56","9,77","5,79"
Universitário,35 a 39 anos,"15,56","8,82","6,74"
Universitário,40 a 44 anos,"12,71","7,59","5,12"
Universitário,45 a 49 anos,"9,96","5,88","4,08"
Universitário,50 a 54 anos,"6,17","3,61","2,56"
Universitário,55 a 59 anos,"4,08","2,56","1,52"
Universitário,60 a 69 anos,"2,28","1,33","0,95"
Universitário,70 anos ou mais,"0,76","0,47","0,28"
Castanheira,Total,"100,00","52,50","47,50"
Castanheira,10 a 14 anos,"0,77","0,42","0,36"
Castanheira,15 a 19 anos,"2,60","1,37","1,22"
Castanheira,15 a 17 anos,"0,99","0,48","0,51"
Castanheira,18 ou 19 anos,"1,61","0,90","0,71"
Castanheira,20 a 24 anos,"9,85","5,35","4,50"
Castanheira,25 a 29 anos,"13,51","7,74","5,77"
Castanheira,30 a 34 anos,"12,94","7,04","5,90"
Castanheira,35 a 39 anos,"11,74","6,57","5,17"
Castanheira,40 a 44 anos,"9,80","5,06","4,74"
Castanheira,45 a 49 anos,"8,96","4,84","4,12"
Castanheira,50 a 54 anos,"7,27","3,91","3,36"
Castanheira,55 a 59 anos,"5,89","2,94","2,95"
Castanheira,60 a 69 anos,"9,21","4,24","4,97"
Castanheira,70 anos ou mais,"7,45","3,02","4,43"
Guanabara,Total,"100,00","57,49","42,51"
Guanabara,10 a 14 anos,"0,90","0,45","0,45"
Guanabara,15 a 19 anos,"2,99","1,95","1,05"
Guanabara,15 a 17 anos,"1,05","0,45","0,60"
Guanabara,18 ou 19 anos,"1,95","1,50","0,45"
Guanabara,20 a 24 anos,"8,83","5,69","3,14"
Guanabara,25 a 29 anos,"17,07","11,53","5,54"
Guanabara,30 a 34 anos,"14,82","8,83","5,99"
Guanabara,35 a 39 anos,"12,87","6,74","6,14"
Guanabara,40 a 44 anos,"10,18","6,29","3,89"
Guanabara,45 a 49 anos,"4,94","2,54","2,40"
Guanabara,50 a 54 anos,"6,44","3,59","2,84"
Guanabara,55 a 59 anos,"4,94","2,10","2,84"
Guanabara,60 a 69 anos,"8,08","4,79","3,29"
Guanabara,70 anos ou mais,"7,93","2,99","4,94"
Águas Lindas,Total,"100,00","56,71","43,29"
Águas Lindas,10 a 14 anos,"1,50","0,79","0,71"
Águas Lindas,15 a 19 anos,"4,37","2,70","1,67"
Águas Lindas,15 a 17 anos,"1,86","1,02","0,84"
Águas Lindas,18 ou 19 anos,"2,51","1,68","0,83"
Águas Lindas,20 a 24 anos,"11,26","6,99","4,26"
Águas Lindas,25 a 29 anos,"14,95","9,01","5,94"
Águas Lindas,30 a 34 anos,"15,30","8,58","6,72"
Águas Lindas,35 a 39 anos,"14,77","7,86","6,91"
Águas Lindas,40 a 44 anos,"11,22","6,27","4,95"
Águas Lindas,45 a 49 anos,"8,31","4,81","3,50"
Águas Lindas,50 a 54 anos,"6,09","3,37","2,71"
Águas Lindas,55 a 59 anos,"3,59","2,05","1,54"
Águas Lindas,60 a 69 anos,"4,98","2,57","2,40"
Águas Lindas,70 anos ou mais,"3,67","1,71","1,96"
Aurá,Total,"100,00","54,33","45,67"
Aurá,10 a 14 anos,"1,03","0,57","0,46"
Aurá,15 a 19 anos,"5,01","2,85","2,16"
Aurá,15 a 17 anos,"1,94","1,25","0,68"
Aurá,18 ou 19 anos,"3,08","1,59","1,48"
Aurá,20 a 24 anos,"12,41","7,86","4,56"
Aurá,25 a 29 anos,"12,41","7,29","5,13"
Aurá,30 a 34 anos,"15,49","7,74","7,74"
Aurá,35 a 39 anos,"12,76","6,04","6,72"
Aurá,40 a 44 anos,"11,39","6,49","4,90"
Aurá,45 a 49 anos,"9,57","5,13","4,44"
Aurá,50 a 54 anos,"6,38","3,08","3,30"
Aurá,55 a 59 anos,"3,87","2,39","1,48"
Aurá,60 a 69 anos,"6,15","3,08","3,08"
Aurá,70 anos ou mais,"3,53","1,82","1,71"
Bengui,Total,"100,00","55,38","44,62"
Bengui,10 a 14 anos,"1,38","0,73","0,64"
Bengui,15 a 19 anos,"3,53","2,17","1,36"
Bengui,15 a 17 anos,"1,38","0,84","0,54"
Bengui,18 ou 19 anos,"2,15","1,32","0,82"
Bengui,20 a 24 anos,"10,18","6,02","4,17"
Bengui,25 a 29 anos,"14,59","8,41","6,18"
Bengui,30 a 34 anos,"14,94","8,36","6,58"
Bengui,35 a 39 anos,"12,41","7,04","5,37"
Bengui,40 a 44 anos,"9,06","5,01","4,05"
Bengui,45 a 49 anos,"7,51","4,29","3,23"
Bengui,50 a 54 anos,"7,00","3,74","3,26"
Bengui,55 a 59 anos,"6,01","3,28","2,73"
Bengui,60 a 69 anos,"8,16","4,23","3,93"
Bengui,70 anos ou mais,"5,23","2,12","3,12"
Cabanagem,Total,"100,00","56,71","43,29"
Cabanagem,10 a 14 anos,"0,74","0,42","0,32"
Cabanagem,15 a 19 anos,"4,41","2,65","1,76"
