Bairro,Grupo de idade,N,N Homens,N Mulheres,P,P Homens,P Mulheres,avg,avg Homens,avg Mulheres,mdn,mdn Homens,mdn Mulheres
Marambaia,Total,35312.0,18014.0,17298.0,100.0,51.01,48.99,1357.51,1553.63,1153.28,710.0,810.0,600.0
Marambaia,10 a 14 anos,339.0,179.0,160.0,0.96,0.51,0.45,227.73,258.55,193.24,100.0,112.0,90.0
Marambaia,15 a 19 anos,933.0,510.0,423.0,2.64,1.44,1.2,430.93,470.77,382.89,400.0,500.0,350.0
Marambaia,15 a 17 anos,381.0,209.0,172.0,1.08,0.59,0.49,342.68,370.13,309.33,250.0,300.0,200.0
Marambaia,18 ou 19 anos,552.0,301.0,251.0,1.56,0.85,0.71,491.84,540.65,433.3,510.0,510.0,500.0
Marambaia,20 a 24 anos,3116.0,1674.0,1442.0,8.82,4.74,4.08,750.84,818.31,672.51,510.0,510.0,510.0
Marambaia,25 a 29 anos,4450.0,2398.0,2052.0,12.6,6.79,5.81,1033.71,1089.7,968.27,650.0,700.0,600.0
Marambaia,30 a 34 anos,4441.0,2342.0,2099.0,12.58,6.63,5.94,1215.47,1320.26,1098.56,750.0,800.0,600.0
Marambaia,35 a 39 anos,4165.0,2190.0,1975.0,11.79,6.2,5.59,1362.38,1548.49,1156.02,800.0,950.0,620.0
Marambaia,40 a 44 anos,3853.0,1995.0,1858.0,10.91,5.65,5.26,1439.87,1664.27,1198.92,800.0,1000.0,700.0
Marambaia,45 a 49 anos,2873.0,1480.0,1393.0,8.14,4.19,3.94,1645.21,1907.11,1366.95,1000.0,1020.0,750.0
Marambaia,50 a 54 anos,2749.0,1392.0,1357.0,7.78,3.94,3.84,1729.97,2049.44,1402.26,1000.0,1132.5,800.0
Marambaia,55 a 59 anos,2253.0,1169.0,1084.0,6.38,3.31,3.07,2065.9,2423.51,1680.24,1060.0,1400.0,1000.0
Marambaia,60 a 69 anos,3398.0,1609.0,1789.0,9.62,4.56,5.07,1824.85,2232.98,1457.78,1000.0,1200.0,600.0
Marambaia,70 anos ou mais,2742.0,1076.0,1666.0,7.77,3.05,4.72,1298.29,1684.91,1048.58,510.0,800.0,510.0
Marco,Total,36975.0,18001.0,18974.0,100.0,48.68,51.32,2096.32,2433.23,1776.69,1000.0,1200.0,900.0
Marco,10 a 14 anos,210.0,116.0,94.0,0.57,0.31,0.25,352.26,362.36,339.79,125.0,122.5,125.0
Marco,15 a 19 anos,692.0,339.0,353.0,1.87,0.92,0.95,561.91,590.09,534.85,510.0,510.0,510.0
Marco,15 a 17 anos,260.0,120.0,140.0,0.7,0.32,0.38,543.55,584.97,508.05,355.0,300.0,400.0
Marco,18 ou 19 anos,432.0,219.0,213.0,1.17,0.59,0.58,572.97,592.9,552.47,510.0,510.0,510.0
Marco,20 a 24 anos,3038.0,1574.0,1464.0,8.22,4.26,3.96,878.65,993.15,755.54,510.0,598.5,510.0
Marco,25 a 29 anos,4478.0,2239.0,2239.0,12.11,6.06,6.06,1428.31,1504.56,1352.06,800.0,900.0,800.0
Marco,30 a 34 anos,4273.0,2190.0,2083.0,11.56,5.92,5.63,1913.29,2193.51,1618.69,1000.0,1020.0,890.0
Marco,35 a 39 anos,3900.0,1965.0,1935.0,10.55,5.31,5.23,2180.26,2433.27,1923.32,1020.0,1200.0,1000.0
Marco,40 a 44 anos,3878.0,1967.0,1911.0,10.49,5.32,5.17,2462.68,2809.13,2106.07,1200.0,1500.0,1000.0
Marco,45 a 49 anos,3611.0,1813.0,1798.0,9.77,4.9,4.86,2552.22,2956.31,2144.76,1500.0,1500.0,1200.0
Marco,50 a 54 anos,3234.0,1599.0,1635.0,8.75,4.32,4.42,2714.36,3157.37,2281.11,1500.0,2000.0,1200.0
Marco,55 a 59 anos,2610.0,1245.0,1365.0,7.06,3.37,3.69,2958.09,3537.49,2429.62,1790.0,2000.0,1500.0
Marco,60 a 69 anos,3681.0,1656.0,2025.0,9.96,4.48,5.48,2608.47,3304.87,2038.98,1450.0,1900.0,1020.0
Marco,70 anos ou mais,3370.0,1298.0,2072.0,9.11,3.51,5.6,1910.36,2488.68,1548.07,1000.0,1487.5,600.0
Fátima,Total,6379.0,3171.0,3208.0,100.0,49.71,50.29,1124.57,1224.34,1025.95,600.0,700.0,510.0
Fátima,10 a 14 anos,45.0,22.0,23.0,0.71,0.34,0.36,256.07,307.91,206.48,100.0,175.0,100.0
Fátima,15 a 19 anos,162.0,84.0,78.0,2.54,1.32,1.22,501.61,524.24,477.24,510.0,510.0,510.0
Fátima,15 a 17 anos,61.0,30.0,31.0,0.96,0.47,0.49,426.77,406.27,446.61,510.0,510.0,510.0
Fátima,18 ou 19 anos,101.0,54.0,47.0,1.58,0.85,0.74,546.81,589.78,497.45,510.0,510.0,510.0
Fátima,20 a 24 anos,534.0,268.0,266.0,8.37,4.2,4.17,705.45,709.51,701.35,510.0,510.0,510.0
Fátima,25 a 29 anos,722.0,386.0,336.0,11.32,6.05,5.27,878.22,912.9,838.39,600.0,650.0,510.0
Fátima,30 a 34 anos,777.0,434.0,343.0,12.18,6.8,5.38,1123.29,1204.0,1021.18,600.0,700.0,550.0
Fátima,35 a 39 anos,696.0,371.0,325.0,10.91,5.82,5.09,1015.65,1100.87,918.37,600.0,700.0,510.0
Fátima,40 a 44 anos,647.0,315.0,332.0,10.14,4.94,5.2,1210.0,1308.76,1116.3,740.0,800.0,600.0
Fátima,45 a 49 anos,588.0,315.0,273.0,9.22,4.94,4.28,1224.46,1358.02,1070.36,700.0,800.0,600.0
Fátima,50 a 54 anos,513.0,268.0,245.0,8.04,4.2,3.84,1442.11,1484.16,1396.11,800.0,800.0,650.0
Fátima,55 a 59 anos,430.0,195.0,235.0,6.74,3.06,3.68,1520.6,1660.63,1404.42,750.0,900.0,600.0
Fátima,60 a 69 anos,663.0,290.0,373.0,10.39,4.55,5.85,1458.92,1668.71,1295.81,650.0,800.0,510.0
Fátima,70 anos ou mais,602.0,223.0,379.0,9.44,3.5,5.94,1040.84,1401.61,828.56,510.0,510.0,510.0
Nazaré,Total,13138.0,5762.0,7376.0,100.0,43.86,56.14,4356.62,5488.04,3472.78,2800.0,3800.0,2000.0
Nazaré,10 a 14 anos,30.0,10.0,20.0,0.23,0.08,0.15,851.33,866.0,844.0,555.0,870.0,510.0
Nazaré,15 a 19 anos,212.0,84.0,128.0,1.61,0.64,0.97,1039.42,981.11,1077.7,510.0,510.0,510.0
Nazaré,15 a 17 anos,61.0,20.0,41.0,0.46,0.15,0.31,1120.66,1046.5,1156.83,700.0,650.0,750.0
Nazaré,18 ou 19 anos,151.0,64.0,87.0,1.15,0.49,0.66,1006.61,960.67,1040.4,510.0,510.0,510.0
Nazaré,20 a 24 anos,903.0,406.0,497.0,6.87,3.09,3.78,1412.36,1580.34,1275.14,1000.0,1000.0,900.0
Nazaré,25 a 29 anos,1236.0,567.0,669.0,9.41,4.32,5.09,2688.24,3067.99,2366.38,2000.0,2000.0,1560.0
Nazaré,30 a 34 anos,1260.0,596.0,664.0,9.59,4.54,5.05,3485.44,4228.51,2818.48,2300.0,3000.0,2000.0
Nazaré,35 a 39 anos,1186.0,543.0,643.0,9.03,4.13,4.89,4227.09,5257.95,3356.56,3000.0,4000.0,2200.0
Nazaré,40 a 44 anos,1166.0,541.0,625.0,8.88,4.12,4.76,4448.58,5545.05,3499.47,3000.0,4000.0,2500.0
Nazaré,45 a 49 anos,1317.0,594.0,723.0,10.02,4.52,5.5,5176.04,6382.08,4185.19,4000.0,5000.0,3000.0
Nazaré,50 a 54 anos,1235.0,558.0,677.0,9.4,4.25,5.15,5601.6,7206.62,4278.71,4000.0,5000.0,3000.0
